"TIME","COICOP","COICOP_LABEL","UNIT","GEO","Value","Flag and Footnotes"
"2009","CP127","Other services n.e.c.","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP127","Other services n.e.c.","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2010","TOTAL","Total","Percentage of total","European Union - 27 countries (from 2019)","100.0",""
"2010","TOTAL","Total","Current prices, million euro","European Union - 27 countries (from 2019)","6,030,562.9",""
"2010","TOTAL","Total","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","6,030,562.9",""
"2010","CP01","Food and non-alcoholic beverages","Percentage of total","European Union - 27 countries (from 2019)","13.0",""
"2010","CP01","Food and non-alcoholic beverages","Current prices, million euro","European Union - 27 countries (from 2019)","783,448.3",""
"2010","CP01","Food and non-alcoholic beverages","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","783,448.3",""
"2010","CP011","Food","Percentage of total","European Union - 27 countries (from 2019)","11.8",""
"2010","CP011","Food","Current prices, million euro","European Union - 27 countries (from 2019)","714,176.0",""
"2010","CP011","Food","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","714,176.0",""
"2010","CP012","Non-alcoholic beverages","Percentage of total","European Union - 27 countries (from 2019)","1.1",""
"2010","CP012","Non-alcoholic beverages","Current prices, million euro","European Union - 27 countries (from 2019)","69,272.2",""
"2010","CP012","Non-alcoholic beverages","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","69,272.2",""
"2010","CP02","Alcoholic beverages, tobacco and narcotics","Percentage of total","European Union - 27 countries (from 2019)","4.1",""
"2010","CP02","Alcoholic beverages, tobacco and narcotics","Current prices, million euro","European Union - 27 countries (from 2019)","245,150.2",""
"2010","CP02","Alcoholic beverages, tobacco and narcotics","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","245,150.2",""
"2010","CP021","Alcoholic beverages","Percentage of total","European Union - 27 countries (from 2019)","1.5",""
"2010","CP021","Alcoholic beverages","Current prices, million euro","European Union - 27 countries (from 2019)","92,342.5",""
"2010","CP021","Alcoholic beverages","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","92,342.5",""
"2010","CP022","Tobacco","Percentage of total","European Union - 27 countries (from 2019)","2.0",""
"2010","CP022","Tobacco","Current prices, million euro","European Union - 27 countries (from 2019)","122,634.3",""
"2010","CP022","Tobacco","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","122,634.3",""
"2010","CP023","Narcotics","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2010","CP023","Narcotics","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2010","CP023","Narcotics","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2010","CP03","Clothing and footwear","Percentage of total","European Union - 27 countries (from 2019)","5.0",""
"2010","CP03","Clothing and footwear","Current prices, million euro","European Union - 27 countries (from 2019)","300,354.5",""
"2010","CP03","Clothing and footwear","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","300,354.5",""
"2010","CP031","Clothing","Percentage of total","European Union - 27 countries (from 2019)","4.0",""
"2010","CP031","Clothing","Current prices, million euro","European Union - 27 countries (from 2019)","242,595.6",""
"2010","CP031","Clothing","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","242,595.6",""
"2010","CP032","Footwear","Percentage of total","European Union - 27 countries (from 2019)","1.0",""
"2010","CP032","Footwear","Current prices, million euro","European Union - 27 countries (from 2019)","57,758.9",""
"2010","CP032","Footwear","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","57,758.9",""
"2010","CP04","Housing, water, electricity, gas and other fuels","Percentage of total","European Union - 27 countries (from 2019)","23.7",""
"2010","CP04","Housing, water, electricity, gas and other fuels","Current prices, million euro","European Union - 27 countries (from 2019)","1,431,383.1",""
"2010","CP04","Housing, water, electricity, gas and other fuels","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","1,431,383.1",""
"2010","CP041","Actual rentals for housing","Percentage of total","European Union - 27 countries (from 2019)","4.4",""
"2010","CP041","Actual rentals for housing","Current prices, million euro","European Union - 27 countries (from 2019)","263,639.4",""
"2010","CP041","Actual rentals for housing","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","263,639.4",""
"2010","CP042","Imputed rentals for housing","Percentage of total","European Union - 27 countries (from 2019)","11.9",""
"2010","CP042","Imputed rentals for housing","Current prices, million euro","European Union - 27 countries (from 2019)","718,736.0",""
"2010","CP042","Imputed rentals for housing","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","718,736.0",""
"2010","CP043","Maintenance and repair of the dwelling","Percentage of total","European Union - 27 countries (from 2019)","1.1",""
"2010","CP043","Maintenance and repair of the dwelling","Current prices, million euro","European Union - 27 countries (from 2019)","64,153.0",""
"2010","CP043","Maintenance and repair of the dwelling","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","64,153.0",""
"2010","CP044","Water supply and miscellaneous services relating to the dwelling","Percentage of total","European Union - 27 countries (from 2019)","1.7",""
"2010","CP044","Water supply and miscellaneous services relating to the dwelling","Current prices, million euro","European Union - 27 countries (from 2019)","104,775.7",""
"2010","CP044","Water supply and miscellaneous services relating to the dwelling","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","104,775.7",""
"2010","CP045","Electricity, gas and other fuels","Percentage of total","European Union - 27 countries (from 2019)","4.6",""
"2010","CP045","Electricity, gas and other fuels","Current prices, million euro","European Union - 27 countries (from 2019)","280,079.0",""
"2010","CP045","Electricity, gas and other fuels","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","280,079.0",""
"2010","CP05","Furnishings, household equipment and routine household maintenance","Percentage of total","European Union - 27 countries (from 2019)","5.8",""
"2010","CP05","Furnishings, household equipment and routine household maintenance","Current prices, million euro","European Union - 27 countries (from 2019)","350,227.9",""
"2010","CP05","Furnishings, household equipment and routine household maintenance","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","350,227.9",""
"2010","CP051","Furniture and furnishings, carpets and other floor coverings","Percentage of total","European Union - 27 countries (from 2019)","2.0",""
"2010","CP051","Furniture and furnishings, carpets and other floor coverings","Current prices, million euro","European Union - 27 countries (from 2019)","119,161.9",""
"2010","CP051","Furniture and furnishings, carpets and other floor coverings","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","119,161.9",""
"2010","CP052","Household textiles","Percentage of total","European Union - 27 countries (from 2019)","0.4",""
"2010","CP052","Household textiles","Current prices, million euro","European Union - 27 countries (from 2019)","26,448.6",""
"2010","CP052","Household textiles","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","26,448.6",""
"2010","CP053","Household appliances","Percentage of total","European Union - 27 countries (from 2019)","0.8",""
"2010","CP053","Household appliances","Current prices, million euro","European Union - 27 countries (from 2019)","49,697.5",""
"2010","CP053","Household appliances","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","49,697.5",""
"2010","CP054","Glassware, tableware and household utensils","Percentage of total","European Union - 27 countries (from 2019)","0.5",""
"2010","CP054","Glassware, tableware and household utensils","Current prices, million euro","European Union - 27 countries (from 2019)","30,967.1",""
"2010","CP054","Glassware, tableware and household utensils","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","30,967.1",""
"2010","CP055","Tools and equipment for house and garden","Percentage of total","European Union - 27 countries (from 2019)","0.4",""
"2010","CP055","Tools and equipment for house and garden","Current prices, million euro","European Union - 27 countries (from 2019)","24,115.2",""
"2010","CP055","Tools and equipment for house and garden","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","24,115.2",""
"2010","CP056","Goods and services for routine household maintenance","Percentage of total","European Union - 27 countries (from 2019)","1.7",""
